1.01	半球	0.90	11-26 02:37	即
1.00	半球	0.91	11-26 02:37	即
0.99	半球	0.92	11-26 02:35	即
0.98	半球	0.93	11-26 02:34	即
0.97	半球	0.94	11-26 02:31	即
0.98	半球	0.93	11-26 02:31	即
0.97	半球	0.94	11-26 02:31	即
0.98	半球	0.93	11-26 02:29	即
0.97	半球	0.94	11-26 02:17	即
0.96	半球	0.95	11-26 02:13	即
0.97	半球	0.94	11-26 02:01	即
0.98	半球	0.93	11-26 01:57	即
0.99	半球	0.92	11-26 01:54	即
0.98	半球	0.93	11-26 01:54	即
0.99	半球	0.92	11-26 01:54	即
0.98	半球	0.93	11-26 01:52	即
0.99	半球	0.92	11-26 01:49	即
1.00	半球	0.91	11-26 01:16	即
1.01	半球	0.90	11-26 01:14	即
1.00	半球	0.91	11-26 01:11	即
1.01	半球	0.90	11-26 01:09	即
1.02	半球	0.89	11-26 01:09	即
1.01	半球	0.90	11-26 01:07	即
0.99	半球	0.92	11-26 01:03	即
0.98	半球	0.93	11-26 01:02	即
0.99	半球	0.92	11-26 01:02	即
0.98	半球	0.93	11-26 00:34	即
0.99	半球	0.92	11-26 00:34	即
0.98	半球	0.93	11-26 00:22	即
0.97	半球	0.94	11-26 00:21	即
0.98	半球	0.93	11-26 00:18	即
0.97	半球	0.94	11-26 00:03	即
0.98	半球	0.93	11-26 00:02	即
0.97	半球	0.94	11-26 00:00	即
0.98	半球	0.93	11-26 00:00	即
0.97	半球	0.94	11-25 23:57	即
0.96	半球	0.95	11-25 23:56	即
0.97	半球	0.94	11-25 23:50	即
0.98	半球	0.93	11-25 23:46	即
0.99	半球	0.92	11-25 23:45	即
0.97	半球	0.94	11-25 23:29	即
0.98	半球	0.93	11-25 23:29	即
0.97	半球	0.94	11-25 23:29	即
0.98	半球	0.93	11-25 23:29	即
0.97	半球	0.94	11-25 23:26	即
0.98	半球	0.93	11-25 23:20	即
0.97	半球	0.94	11-25 22:51	即
0.98	半球	0.93	11-25 22:51	即
0.97	半球	0.94	11-25 22:47	即
0.98	半球	0.93	11-25 22:40	即
0.99	半球	0.92	11-25 22:40	即
0.98	半球	0.93	11-25 22:37	即
0.97	半球	0.94	11-25 22:36	即
0.96	半球	0.95	11-25 22:36	即
0.97	半球	0.94	11-25 22:27	即
0.98	半球	0.93	11-25 22:26	即
0.97	半球	0.94	11-25 22:26	即
0.98	半球	0.93	11-25 22:24	即
0.99	半球	0.92	11-25 22:22	即
1.00	半球	0.91	11-25 22:16	即
0.99	半球	0.92	11-25 22:11	即
1.00	半球	0.91	11-25 22:10	即
0.99	半球	0.92	11-25 22:10	即
1.00	半球	0.91	11-25 22:10	即
1.01	半球	0.90	11-25 21:58	即
1.00	半球	0.91	11-25 21:42	即
0.99	半球	0.92	11-25 21:42	即
1.00	半球	0.91	11-25 21:35	即
1.01	半球	0.90	11-25 21:32	即
1.02	半球	0.89	11-25 21:31	即
1.01	半球	0.90	11-25 21:22	即
1.00	半球	0.91	11-25 21:22	即
1.01	半球	0.90	11-25 21:22	即
1.02	半球	0.89	11-25 20:50	即
1.03	半球	0.88	11-25 20:38	即
1.02	半球	0.89	11-25 20:37	即
1.03	半球	0.88	11-25 20:35	即
1.02	半球	0.89	11-25 20:34	即
1.03	半球	0.88	11-25 20:14	即
1.02	半球	0.89	11-25 20:13	即
1.03	半球	0.88	11-25 20:09	即
1.04	半球	0.87	11-25 20:04	即
1.03	半球	0.88	11-25 19:57	即
1.04	半球	0.87	11-25 19:56	即
1.03	半球	0.88	11-25 19:31	即
1.02	半球	0.89	11-25 19:30	即
1.04	半球	0.87	11-25 19:30	即
1.03	半球	0.88	11-25 19:26	即
1.02	半球	0.89	11-25 19:04	即
1.01	半球	0.90	11-25 18:57	即
1.00	半球	0.91	11-25 18:57	即
1.01	半球	0.90	11-25 18:56	即
1.00	半球	0.91	11-25 18:51	即
0.99	半球	0.92	11-25 18:42	即
1.00	半球	0.91	11-25 18:41	即
0.99	半球	0.92	11-25 18:39	即
1.00	半球	0.91	11-25 18:34	即
0.99	半球	0.92	11-25 18:31	即
1.00	半球	0.91	11-25 18:23	即
0.99	半球	0.92	11-25 17:58	即
1.00	半球	0.91	11-25 17:58	即
1.01	半球	0.90	11-25 17:56	即
1.02	半球	0.89	11-25 17:54	即
1.01	半球	0.90	11-25 17:33	即
1.00	半球	0.91	11-25 17:33	即
0.99	半球	0.92	11-25 17:32	即
1.00	半球	0.91	11-25 17:29	即
0.99	半球	0.92	11-25 17:29	即
1.00	半球	0.91	11-25 17:26	即
0.99	半球	0.92	11-25 17:17	即
1.00	半球	0.91	11-25 17:05	即
1.01	半球	0.90	11-25 17:01	即
1.02	半球	0.89	11-25 16:52	即
1.01	半球	0.90	11-25 16:52	即
1.00	半球	0.91	11-25 16:47	即
1.01	半球	0.90	11-25 16:46	即
1.02	半球	0.89	11-25 16:36	即
0.97	半球	0.94	11-25 16:32	即
0.96	半球	0.95	11-25 16:31	即
0.95	半球	0.96	11-25 16:27	即
0.94	半球	0.97	11-25 16:18	即
0.93	半球	0.98	11-25 16:17	即
0.94	半球	0.97	11-25 16:14	即
0.93	半球	0.98	11-25 16:12	即
0.92	半球	0.99	11-25 16:06	即
0.93	半球	0.98	11-25 15:53	即
0.92	半球	0.99	11-25 15:50	即
0.94	半球	0.97	11-25 15:41	即
0.93	半球	0.98	11-25 15:40	即
0.94	半球	0.97	11-25 15:39	即
0.91	半球	1.00	11-25 15:38	即
0.92	半球	0.99	11-25 15:36	即
0.89	半球	1.02	11-25 15:31	即
0.90	半球	1.01	11-25 15:21	即
0.91	半球	1.00	11-25 15:21	即
0.90	半球	1.01	11-25 15:21	即
0.91	半球	1.00	11-25 15:16	即
0.90	半球	1.01	11-25 14:31	即
0.91	半球	1.00	11-25 14:30	即
0.90	半球	1.01	11-25 14:26	即
0.91	半球	1.00	11-25 14:16	即
0.90	半球	1.01	11-25 14:15	即
0.89	半球	1.02	11-25 14:15	即
0.90	半球	1.01	11-25 14:08	即
0.91	半球	1.00	11-25 13:59	即
0.90	半球	1.01	11-25 13:17	即
0.91	半球	1.00	11-25 13:17	即
0.90	半球	1.01	11-25 13:16	即
0.91	半球	1.00	11-25 13:11	即
0.90	半球	1.01	11-25 13:11	即
0.91	半球	1.00	11-25 13:04	即
0.92	半球	0.99	11-25 12:42	即
0.91	半球	1.00	11-25 12:23	即
0.92	半球	0.99	11-25 12:23	即
0.91	半球	1.00	11-25 12:23	即
0.92	半球	0.99	11-25 12:23	即
0.91	半球	1.00	11-25 12:08	即
0.91	半球	0.99	11-25 09:52	早
0.93	半球	0.97	11-25 09:51	早
0.91	半球	0.99	11-25 09:50	早
0.93	半球	0.97	11-25 08:42	早
0.94	半球	0.96	11-25 08:41	早
0.93	半球	0.97	11-25 08:38	早
0.94	半球	0.96	11-25 08:09	早
0.96	半球	0.94	11-25 08:08	早
0.94	半球	0.96	11-25 08:07	早
0.96	半球	0.94	11-25 07:50	早
0.98	半球	0.92	11-25 07:49	早
0.96	半球	0.94	11-25 07:48	早
0.98	半球	0.92	11-25 07:45	早
0.96	半球	0.94	11-25 07:44	早
0.98	半球	0.92	11-25 06:18	早
0.97	半球	0.93	11-25 06:16	早
0.98	半球	0.92	11-25 06:15	早
0.97	半球	0.93	11-25 04:14	早
0.95	半球	0.95	11-25 04:13	早
0.97	半球	0.93	11-25 04:12	早
0.95	半球	0.95	11-25 03:36	早
0.97	半球	0.93	11-25 00:47	早
0.95	半球	0.95	11-25 00:43	早
0.97	半球	0.93	11-25 00:42	早
0.95	半球	0.95	11-24 23:02	早
0.97	半球	0.93	11-24 23:00	早
0.95	半球	0.95	11-24 22:59	早
0.97	半球	0.93	11-24 22:58	早
0.95	半球	0.95	11-24 22:56	早
0.97	半球	0.93	11-24 22:54	早
0.95	半球	0.95	11-24 14:19	早
0.93	半球	0.97	11-24 14:16	早
0.95	半球	0.95	11-24 14:15	早
0.93	半球	0.97	11-24 14:12	早
0.90	半球	1.00	11-24 14:11	早
0.93	半球	0.97	11-24 14:10	早
0.90	半球	1.00	11-24 12:37	早
0.92	半球	0.98	11-24 12:36	早
0.90	半球	1.00	11-24 12:34	早
0.92	半球	0.98	11-24 12:33	早
0.90	半球	1.00	11-24 10:40	早
0.91	半球	0.99	11-24 10:39	早
0.90	半球	1.00	11-24 10:37	早
0.91	半球	0.99	11-24 10:36	早
0.90	半球	1.00	11-24 10:35	早
0.93	半球	0.97	11-24 08:22	早
0.92	半球	0.98	11-24 08:20	早
0.93	半球	0.97	11-24 08:18	早
0.94	半球	0.96	11-24 08:17	早
0.93	半球	0.97	11-24 08:16	早
0.92	半球	0.98	11-24 05:23	早
1.19	半球/一球	0.74	11-24 05:21	早
0.92	半球	0.98	11-23 23:27	早
0.93	半球	0.97	11-23 18:35	早
0.92	半球	0.98	11-23 18:34	早
0.93	半球	0.97	11-23 18:31	早
0.92	半球	0.98	11-22 18:07	早
0.94	半球	0.96	11-22 16:38	早
0.93	半球	0.97	11-22 12:00	早
1.21	半球/一球	0.72	11-22 11:59	早
0.93	半球	0.97	11-22 07:37	早
0.95	半球	0.95	11-22 07:31	早
0.93	半球	0.97	11-22 04:02	早
0.94	半球	0.96	11-22 02:39	早
0.95	半球	0.95	11-22 02:37	早
0.94	半球	0.96	11-22 02:36	早
0.95	半球	0.95	11-22 02:27	早
0.97	半球	0.93	11-22 01:12	早
1.25	半球/一球	0.70	11-22 01:11	早
0.97	半球	0.93	11-21 20:12	早
0.95	半球	0.95	11-21 14:49	早
0.93	半球	0.97	11-21 09:25	早
0.91	半球	0.99	11-21 09:19	早
0.93	半球	0.97	11-21 07:48	早
0.68	平手/半球	1.28	11-21 07:47	早
0.93	半球	0.97	11-21 07:46	早
0.68	平手/半球	1.28	11-21 07:36	早
0.66	平手/半球	1.28	11-20 00:43	早
0.68	平手/半球	1.25	11-19 06:06	早
0.71	平手/半球	1.20	11-8 19:52	早
0.75	平手/半球	1.14	11-8 00:36	早
0.79	平手/半球	1.09	11-7 23:16	早
0.83	平手/半球	1.05	11-7 23:15	早
0.79	平手/半球	1.09	11-7 23:13	早
0.83	平手/半球	1.05	11-7 22:13	早
0.81	平手/半球	1.07	11-7 22:12	早
0.83	平手/半球	1.05	11-7 22:07	早
0.81	平手/半球	1.07	11-7 19:30	早
0.85	平手/半球	1.03	11-7 19:29	早
0.81	平手/半球	1.07	11-7 19:28	早
0.85	平手/半球	1.03	11-7 17:38	早
